Step,Grid,Goal,Move
18,"[2, 0, 3, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
19,"[0, 2, 3, 1, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
20,"[1, 2, 3, 0, 4, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
21,"[1, 2, 3, 4, 0, 6, 7, 5, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
22,"[1, 2, 3, 4, 5, 6, 7, 0, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
23,"[1, 2, 3, 4, 5, 6, 7, 8, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left

1,"[1, 7, 0, 6, 2, 8, 4, 5, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
2,"[1, 7, 8, 6, 2, 0, 4, 5, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
3,"[1, 7, 8, 6, 0, 2, 4, 5, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
4,"[1, 0, 8, 6, 7, 2, 4, 5, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
5,"[1, 8, 0, 6, 7, 2, 4, 5, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
6,"[1, 8, 2, 6, 7, 0, 4, 5, 3]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
7,"[1, 8, 2, 6, 7, 3, 4, 5, 0]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
8,"[1, 8, 2, 6, 7, 3, 4, 0, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",right
9,"[1, 8, 2, 6, 0, 3, 4, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
10,"[1, 0, 2, 6, 8, 3, 4, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",down
11,"[1, 2, 0, 6, 8, 3, 4, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",left
12,"[1, 2, 3, 6, 8, 0, 4, 7, 5]","[1, 2, 3, 4, 5, 6, 7, 8, 0]",up
